symbol,count,probability,code,length
23,2437,0.0101541667,000000,6
24,2433,0.0101375000,0000010,7
26,2390,0.0099583333,0000011,7
22,2383,0.0099291667,000010,6
19,2359,0.0098291667,0000110,7
21,2348,0.0097833333,0000111,7
25,2336,0.0097333333,000100,6
18,2308,0.0096166667,0001010,7
20,2305,0.0096041667,0001011,7
27,2302,0.0095916667,0001100,7
28,2221,0.0092541667,0001101,7
7,2126,0.0088583333,0001110,7
17,2098,0.0087416667,0001111,7
29,2058,0.0085750000,0010000,7
12,2016,0.0084000000,0010001,7
13,2010,0.0083750000,0010010,7
30,1974,0.0082250000,0010011,7
31,1965,0.0081875000,0010100,7
10,1955,0.0081458333,0010101,7
14,1929,0.0080375000,0010110,7
11,1921,0.0080041667,0010111,7
16,1908,0.0079500000,0011000,7
33,1903,0.0079291667,0011001,7
32,1812,0.0075500000,0011010,7
39,1744,0.0072666667,0011011,7
34,1741,0.0072541667,0011100,7
5,1739,0.0072458333,0011101,7
15,1733,0.0072208333,0011110,7
40,1670,0.0069583333,0011111,7
35,1661,0.0069208333,0100000,7
38,1659,0.0069125000,0100001,7
9,1655,0.0068958333,0100010,7
36,1640,0.0068333333,0100011,7
37,1622,0.0067583333,0100100,7
98,1615,0.0067291667,0100101,7
41,1579,0.0065791667,0100110,7
42,1565,0.0065208333,01001110,8
118,1534,0.0063916667,01001111,8
125,1524,0.0063500000,0101000,7
123,1494,0.0062250000,0101001,7
43,1458,0.0060750000,0101010,7
133,1428,0.0059500000,01010110,8
115,1425,0.0059375000,01010111,8
44,1409,0.0058708333,0101100,7
121,1388,0.0057833333,01011010,8
95,1387,0.0057791667,01011011,8
131,1384,0.0057666667,0101110,7
124,1381,0.0057541667,01011110,8
126,1376,0.0057333333,01011111,8
45,1363,0.0056791667,0110000,7
113,1356,0.0056500000,0110001,7
100,1354,0.0056416667,0110010,7
120,1344,0.0056000000,01100110,8
116,1340,0.0055833333,01100111,8
114,1338,0.0055750000,0110100,7
128,1338,0.0055750000,01101010,8
110,1318,0.0054916667,01101011,8
92,1312,0.0054666667,0110110,7
122,1312,0.0054666667,01101110,8
89,1311,0.0054625000,01101111,8
135,1296,0.0054000000,0111000,7
106,1281,0.0053375000,01110010,8
8,1279,0.0053291667,01110011,8
46,1279,0.0053291667,0111010,7
48,1254,0.0052250000,01110110,8
130,1251,0.0052125000,01110111,8
143,1249,0.0052041667,0111100,7
117,1248,0.0052000000,01111010,8
96,1246,0.0051916667,01111011,8
129,1232,0.0051333333,0111110,7
84,1230,0.0051250000,01111110,8
6,1226,0.0051083333,01111111,8
87,1215,0.0050625000,1000000,7
